transactionids,items,quantity
97515,Grilled Chicken Quesadilla,2
43244,Mediterranean Hummus,4
56379,Midnight Ryder,1
56379,Midnight Ryder,5
56379,Milk Mustachio Stout,3
14064,Nordskye ,5
68699,Gose,5
17004,Nonstop Hef Hop,3
31421,Milk Mustachio Stout,1
31421,Pale Dog,3
63117,Canyon Cream Ale,4
63117,Cheeseburger,5
63117,Redband Stout,1
39615,Midnight Ryder,3
39615,Redband Stout,2
39615,Forest Fire Imperial Smoked Rye,2
69585,Red Mountain Ale,1
69585,Lobster Bisque,1
24784,Pretzels and Cheese Dip,1
24784,Oberon,1
43717,Spinach and Artichoke Dip,5
43717,Grilled Chicken Quesadilla,1
90383,Lobster Bisque,5
31086,Midwest Charm Farmhouse Ale,4
31086,Midwest Charm Farmhouse Ale,1
31086,Midwest Charm Farmhouse Ale,2
49010,Occidental Altbier,2
40096,Gran Met,4
40096,Foreman,1
40096,Buffalo Wings,2
13673,Snaggletooth Double Pale Ale,5
13673,Snaggletooth Double Pale Ale,5
13673,Guacamole and Chips,2
49625,Fort Pitt Ale,4
49625,Pulled Pork Sliders,2
68775,Lobster Bisque,4
68775,Milk Mustachio Stout,4
68775,La Frontera Premium IPA,2
73154,Jack's Hard Cider,4
73154,Chips and Salsa,4
73154,Dottie Seattle Lager,4
11744,Redacted Rye IPA,3
11744,Cheese Pizza,2
11744,Forest Fire Imperial Smoked Rye,2
96450,Gran Met,5
21355,Boxer Light,4
53662,Might As Well IPL,2
53662,Boneless Wings,1
53662,Might As Well IPL,2
15058,Kale Salad,4
15058,Snake Dog IPA,2
65412,Grilled Cheese Trio,5
65412,Cape Cod Red,2
83562,Smooth Operator,1
83562,Nachos,3
83562,Cape Cod Red,4
85372,Gose,4
85372,Jade,5
85372,Yellowstone Golden Ale,5
12813,Jade,4
89160,Chicken Tortilla Soup,1
71078,Agent a Deux,3
71078,Yellow Wolf Imperial IPA,4
11762,House Salad,3
11762,Nordskye ,3
47078,Nachos,3
16875,Spinach and Artichoke Dip,5
18853,Yeti  Imperial Stout,3
18853,Boneless Wings,5
18853,Paleo IPA,1
78409,Mediterranean Hummus,1
75735,Gossamer Golden Ale,4
75735,Gossamer Golden Ale,1
75735,Gossamer Golden Ale,3
73971,KSA,4
73971,KSA,5
73971,Foreman,1
65973,Chips and Salsa,2
65973,Bozone Hefe Weizen,3
65973,Chips and Salsa,3
58428,Gran Met,4
58428,Paleo IPA,1
58428,Gran Met,2
21142,Hamburger,3
21142,Occidental Altbier,5
21142,Occidental Altbier,2
14900,Capital Trail Pale Ale,2
40641,Snake Dog IPA,3
40641,Fire Eagle IPA,5
48478,Boy King,2
48478,Garlic Bread,1
67496,Bozone Hefe Weizen,2
51378,Chicken Tortilla Soup,3
51378,La Ferme Urbaine Farmhouse Ale,3
51378,La Ferme Urbaine Farmhouse Ale,2
54493,Spinach and Artichoke Dip,4
23852,Pale Dog,5
23852,Alaskan Amber,3
57531,Firefly Amber Ale,4
57531,Guacamole and Chips,4
57531,Nordskye ,1
69898,El Steinber Dark Lager,3
69898,Spinach and Artichoke Dip,5
31109,La Frontera Premium IPA,4
31109,La Frontera Premium IPA,1
31109,Nooner,3
34982,Abigale,5
17627,Occidental Altbier,2
17627,Grilled Cheese Trio,5
10044,Jack Stout,3
74038,Garlic Bread,1
74038,Chicken Taco,5
68337,Gossamer Golden Ale,5
68337,Oberon,2
68337,Chicken Taco,1
58171,Chips and Salsa,4
58171,Elder Betty,1
14961,Occidental Altbier,1
14961,Graham Cracker Porter,4
70959,Onion Rings,4
70959,Onion Rings,3
87862,Cape Cod Red,5
70577,Fort Pitt Ale,2
70577,House Salad,3
70577,Grilled Cheese Trio,5
86979,Occidental Altbier,5
86979,Occidental Altbier,4
86979,Boneless Wings,1
35356,Jack the Sipper,4
20299,Fort Pitt Ale,3
20299,Forest Fire Imperial Smoked Rye,1
37614,Nordskye ,2
37614,Agent a Deux,5
50408,Fries,2
50408,Fries,3
67128,Boy King,3
67128,Boxer Ice,1
67128,Jack the Sipper,1
23444,La Frontera Premium IPA,5
23444,Crab Cakes,3
23444,Firefly Amber Ale,4
18471,La Frontera Premium IPA,2
18471,La Frontera Premium IPA,5
18471,Ahi Tune Bruschetta,2
19725,Nooner,3
19725,Nooner,3
19725,Nachos,2
40548,Red Mountain Ale,4
40548,House Salad,5
40548,Cheeseburger,2
60401,Paleo IPA,4
44362,Boy King,5
54515,Paleo IPA,4
54515,Kreamed Corn,1
54515,Coleslaw,2
96811,Pretzels and Cheese Dip,5
97382,La Frontera Premium IPA,5
28373,Garlic Bread,2
28373,Yellowstone Golden Ale,1
38750,Gossamer Golden Ale,4
38750,Yeti  Imperial Stout,1
38750,Fried Calamari,2
73143,Milk Mustachio Stout,5
73143,Midnight Ryder,1
73143,Pale Dog,1
79798,Redband Stout,3
13401,Boxer Ice,4
13401,Coconut Shrimp,3
23850,Yeti  Imperial Stout,4
23850,Caesar Salad,4
23850,House Salad,5
25335,Firefly Amber Ale,4
85896,Capital Trail Pale Ale,2
85896,Kreamed Corn,4
85896,Kreamed Corn,1
78205,Agent a Deux,3
93686,Agave Wheat,3
93686,Coconut Shrimp,2
84897,Mozarella Sticks,3
63846,Coconut Shrimp,1
63846,La Frontera Premium IPA,3
63846,Nachos,4
93007,Midwest Charm Farmhouse Ale,5
93007,KSA,3
36482,Redacted Rye IPA,2
36482,Fried Calamari,5
80367,Graham Cracker Porter,3
80367,Redacted Rye IPA,1
80367,Dolores River Pale Ale,5
15607,Caesar Salad,4
14624,Graham Cracker Porter,4
14624,Grilled Cheese Trio,2
14624,Red Mountain Ale,4
52526,Crab Cakes,4
89317,Yellow Wolf Imperial IPA,5
89317,Pulled Pork Sliders,4
89317,French Onion Soup,3
70802,Bozone Hefe Weizen,4
96547,Coleslaw,3
29604,Yeti  Imperial Stout,3
29604,Boxer Ice,5
68039,Snake Dog IPA,1
64336,Gossamer Golden Ale,4
64336,Gossamer Golden Ale,5
64336,Gossamer Golden Ale,4
68540,Paleo IPA,3
34096,Osiris Pale Ale,5
34096,French Onion Soup,3
78649,Jack Pine Savage,2
29759,Kreamed Corn,2
29759,Oberon,3
48915,Redacted Rye IPA,2
48915,Crab Cakes,2
48915,Bozone Hefe Weizen,2
75417,Sweet Potato Fries,5
75417,Red Mountain Ale,2
75417,Element 29,2
72780,House Salad,1
29528,Nachos,3
29528,Buffalo Wings,2
75925,Caesar Salad,2
61252,Milk Mustachio Stout,3
61252,Grilled Cheese Trio,3
61252,Milk Mustachio Stout,3
76251,Garlic Bread,3
26635,Snake Dog IPA,3
26635,Boxer Light,1
66738,Redband Stout,4
66738,Kale Salad,5
30691,Boxer Ice,5
41219,Osiris Pale Ale,1
22148,Cheese Pizza,2
80343,Grilled Chicken Quesadilla,1
80343,Gossamer Golden Ale,3
80343,Agent a Deux,3
21871,Milk Mustachio Stout,4
21871,Mozarella Sticks,4
29246,Jack's Hard Cider,3
29246,Jack Pine Savage,3
29246,Jack Pine Savage,3
52576,Red Water Irish Style Red,4
26974,Grilled Cheese Trio,3
26974,Grilled Cheese Trio,1
26974,Kreamed Corn,5
23614,Onion Rings,1
23614,Oberon,4
45509,Gran Met,2
45509,Redband Stout,3
45509,Gran Met,3
82396,Yellowstone Golden Ale,5
82396,Ahi Tune Bruschetta,1
82396,Osiris Pale Ale,5
42845,Doomtree,1
42845,Gossamer Golden Ale,2
23247,Fort Pitt Ale,4
23247,Yellow Wolf Imperial IPA,1
23247,Redacted Rye IPA,4
65866,Fries,5
65866,Spinach and Artichoke Dip,4
21017,Milkshake Stout,1
63650,Cant Dog Imperial Pale Ale,5
63650,Redacted Rye IPA,1
63650,Boxer Ice,1
65753,Spinach and Artichoke Dip,1
65753,Grilled Chicken Quesadilla,5
33306,Agent a Deux,2
33306,Chicken Tortilla Soup,4
15663,Hamburger,1
15663,Pale Dog,4
99469,El Steinber Dark Lager,1
66689,Yeti  Imperial Stout,2
66689,Grilled Chicken Quesadilla,3
97287,Milkshake Stout,2
97287,Milkshake Stout,4
97287,Yellow Wolf Imperial IPA,5
39193,Gossamer Golden Ale,5
39193,Yeti  Imperial Stout,2
39193,Yeti  Imperial Stout,4
59143,Redband Stout,1
29353,Jack Stout,2
29353,Boneless Wings,5
29353,Snake Dog IPA,4
98969,Cheese Pizza,3
84606,Fort Pitt Ale,1
84606,Bozone Hefe Weizen,3
39829,Nachos,2
95503,Agave Wheat,3
95503,Nooner,4
90820,Dolores River Pale Ale,4
90820,Pulled Pork Sliders,1
35110,Redband Stout,1
35110,Akari Shogun American Wheat Ale,5
35110,Forest Fire Imperial Smoked Rye,5
64045,Mediterranean Hummus,4
64045,Boneless Wings,3
64045,Kale Salad,2
88687,Cheeseburger,1
97357,El Steinber Dark Lager,1
97357,Yellow Collar,2
99136,Kreamed Corn,2
99136,Buffalo Wings,2
99136,Ahi Tune Bruschetta,2
60171,Nonstop Hef Hop,4
60171,Grilled Chicken Quesadilla,1
60171,El Rojo,4
94050,Garlic Bread,5
77914,Jack's Hard Cider,3
63586,Mediterranean Hummus,5
63586,Redband Stout,1
29569,Alaskan Amber,2
72616,Might As Well IPL,2
31139,La Ferme Urbaine Farmhouse Ale,3
84590,Nooner,2
84590,Mozarella Sticks,5
41215,Mediterranean Hummus,4
41215,Pretzels and Cheese Dip,3
41215,Mediterranean Hummus,1
38527,Nooner,4
16012,Nachos,1
49576,Pretzels and Cheese Dip,4
49576,Midnight Ryder,5
49576,Pretzels and Cheese Dip,3
19100,Ahi Tune Bruschetta,2
19100,Grilled Cheese Trio,4
19100,Milk Mustachio Stout,4
93153,Doomtree,2
64009,Chicken Taco,1
64009,Alaskan Amber,3
39842,Jade,2
39842,Cheese Pizza,3
39842,KSA,2
73554,Jack the Sipper,4
73554,Midwest Charm Farmhouse Ale,4
73554,Jack the Sipper,5
50448,Midwest Charm Farmhouse Ale,4
78545,Akari Shogun American Wheat Ale,1
95450,Bozone Hefe Weizen,4
95450,Yeti  Imperial Stout,3
95450,Bozone Hefe Weizen,1
99531,Fried Calamari,4
51185,Redacted Rye IPA,3
51185,Midnight Ryder,5
82188,Smooth Operator,4
82188,Element 29,3
82188,Nooner,2
89897,Red Water Irish Style Red,2
89897,Boneless Wings,1
89897,Pretzels and Cheese Dip,4
87954,Chicken Taco,1
87954,Doomtree,4
87954,Forest Fire Imperial Smoked Rye,4
22366,Yellow Wolf Imperial IPA,5
22366,Hamburger,5
59231,Jack Stout,3
59231,Jade,2
59231,Paleo IPA,5
90449,Spinach and Artichoke Dip,4
21822,Coconut Shrimp,3
21822,Canyon Cream Ale,5
21822,Canyon Cream Ale,1
52676,Dottie Seattle Lager,4
63240,Jack's Hard Cider,5
63240,Grilled Cheese Trio,3
56372,Spinach and Artichoke Dip,3
56372,Dolores River Pale Ale,3
56372,Graham Cracker Porter,3
58356,Jack Pine Savage,3
65131,Paleo IPA,1
56433,Paleo IPA,3
56433,Fort Pitt Ale,4
74715,Boxer Ice,4
81433,Forest Fire Imperial Smoked Rye,2
81433,Forest Fire Imperial Smoked Rye,2
67154,Mozarella Sticks,2
64281,Gose,2
64281,Boxer Ice,1
49356,Dolores River Pale Ale,3
32322,Red Water Irish Style Red,2
32322,Red Water Irish Style Red,2
32322,Yeti  Imperial Stout,4
97446,Dos Pistolas,1
97446,Firefly Amber Ale,1
62466,Chicken Taco,4
32085,Agent a Deux,1
32085,Boneless Wings,1
53681,Dottie Seattle Lager,5
53681,Jack the Sipper,5
16565,Onion Rings,5
16565,Guacamole and Chips,3
16565,Nordskye ,1
72113,Jack the Sipper,2
72113,Dottie Seattle Lager,2
72113,Chips and Salsa,1
19058,Capital Trail Pale Ale,3
19058,Gose,5
88726,Boy King,1
45215,Yellowstone Golden Ale,4
44577,Firefly Amber Ale,3
44577,La Frontera Premium IPA,3
33009,Osiris Pale Ale,5
33009,Nachos,5
11170,Yellowstone Golden Ale,1
11170,Cheeseburger,4
11170,Elder Betty,4
23672,Might As Well IPL,1
21444,Oberon,5
21444,Ahi Tune Bruschetta,3
21444,Ahi Tune Bruschetta,1
82267,Beef Taco,3
82267,Kreamed Corn,2
12338,Alaskan Amber,1
47245,Midnight Ryder,1
47245,Forest Fire Imperial Smoked Rye,5
17999,Chicken Tortilla Soup,4
21943,Midwest Charm Farmhouse Ale,4
21943,Osiris Pale Ale,1
57467,Garlic Bread,4
57467,Mozarella Sticks,3
51828,La Frontera Premium IPA,1
11934,Fort Pitt Ale,2
11934,Boxer Light,3
11934,Red Water Irish Style Red,2
34675,Cheeseburger,5
34675,Capital Gold Golden Lager,2
64211,Graham Cracker Porter,3
64211,Occidental Altbier,5
67350,Forest Fire Imperial Smoked Rye,2
67350,Doomtree,5
31962,Osiris Pale Ale,4
31962,Cape Cod Red,4
31962,Chicken Tortilla Soup,2
38698,Nordic Blonde,1
73871,Milkshake Stout,4
73871,Agent a Deux,4
82489,Nordskye ,5
82489,Agave Wheat,4
73944,Fire Eagle IPA,5
64262,Lobster Bisque,5
64262,La Frontera Premium IPA,2
64262,Abigale,1
73170,Jack Pine Savage,4
34439,Redband Stout,5
89140,Garlic Bread,2
32576,Forest Fire Imperial Smoked Rye,3
59585,Boneless Wings,4
59585,Jack Pine Savage,4
22873,Nooner,3
22873,Agave Wheat,4
22873,Nooner,5
96027,Mediterranean Hummus,1
96027,Yeti  Imperial Stout,5
96027,Nachos,2
73636,Garlic Bread,1
73636,Smoky Wheat,4
73636,Mozarella Sticks,3
87913,Caesar Salad,4
87913,Buffalo Wings,3
28299,Jack Stout,3
28299,Cape Cod Red,4
44713,Cant Dog Imperial Pale Ale,1
73397,Oberon,2
73397,Chicken Taco,5
36826,Chicken Tortilla Soup,4
36826,Elder Betty,4
36826,Fried Calamari,5
14200,Nooner,5
14200,Jade,5
14200,Forest Fire Imperial Smoked Rye,3
31578,Dottie Seattle Lager,3
31578,Foreman,2
99095,Ahi Tune Bruschetta,1
99095,Canyon Cream Ale,4
95451,Agent a Deux,5
95451,Agent a Deux,3
95451,Agent a Deux,2
73180,Jack the Sipper,4
73180,Jack the Sipper,4
73180,Jack the Sipper,5
75574,Element 29,5
51454,Redband Stout,4
51454,Agent a Deux,4
95290,Snaggletooth Double Pale Ale,2
40757,Gose,2
48375,Chips and Salsa,2
48375,Jack the Sipper,2
69153,La Ferme Urbaine Farmhouse Ale,2
69153,Yellowstone Golden Ale,5
17236,Yellow Collar,2
27644,Midwest Charm Farmhouse Ale,2
74369,Red Mountain Ale,1
42454,Crab Cakes,2
42454,Osiris Pale Ale,5
42454,Osiris Pale Ale,5
79887,Spinach and Artichoke Dip,4
79887,Cheeseburger,4
67561,Capital Trail Pale Ale,5
67561,Onion Rings,2
15477,Kreamed Corn,1
92868,Osiris Pale Ale,4
92868,Lobster Bisque,3
81332,House Salad,2
81332,Coconut Shrimp,1
66817,Grilled Chicken Quesadilla,2
66817,Ahi Tune Bruschetta,3
66817,Ahi Tune Bruschetta,4
15948,Chicken Taco,4
15948,Beef Taco,4
15948,Forest Fire Imperial Smoked Rye,1
43779,La Frontera Premium IPA,1
43779,La Frontera Premium IPA,2
66985,Coconut Shrimp,3
34840,Boxer Light,2
34840,Cheese Pizza,3
34840,Element 29,3
83663,Dos Pistolas,3
83663,Dos Pistolas,5
83663,Dos Pistolas,1
80505,KSA,1
80505,Lobster Bisque,1
80505,Abigale,1
46209,Crab Cakes,1
46209,Yellowstone Golden Ale,5
46209,Tomato Basil Soup,3
68048,Grilled Chicken Quesadilla,3
27218,Buffalo Wings,3
16687,Caesar Salad,5
16687,Yellowfun Tempura Bites,3
57810,Yellow Collar,1
57810,Chicken Tortilla Soup,2
70827,Crab Cakes,5
70827,Yellowstone Golden Ale,2
15197,Gran Met,4
15197,Milkshake Stout,1
15197,Gran Met,4
35050,Crab Cakes,3
65336,Red Water Irish Style Red,4
65336,House Salad,2
75739,Nachos,1
75739,La Frontera Premium IPA,4
75739,Nachos,4
60684,Beef Taco,3
60684,Capital Trail Pale Ale,3
60684,Dottie Seattle Lager,2
51633,Gose,3
51633,Yeti  Imperial Stout,3
51633,Yeti  Imperial Stout,1
36445,Jack's Hard Cider,5
86708,Akari Shogun American Wheat Ale,2
86708,Forest Fire Imperial Smoked Rye,3
87427,Onion Rings,3
87427,Fort Pitt Ale,1
87427,Onion Rings,5
17684,Mozarella Sticks,2
17684,Lobster Bisque,1
17684,Abigale,1
30250,Smoky Wheat,5
52140,Alaskan Amber,3
52140,Alaskan Amber,3
91919,Chicken Tortilla Soup,4
91919,Sweet Potato Fries,3
91919,Grilled Cheese Trio,2
12462,Mediterranean Hummus,5
12462,Redband Stout,2
12462,Chicken Tortilla Soup,1
26563,Smooth Operator,4
77395,Might As Well IPL,5
93861,Redband Stout,4
93861,Redband Stout,5
14217,La Frontera Premium IPA,4
82195,Smooth Operator,1
82195,Crab Cakes,4
65188,Onion Rings,3
65188,Onion Rings,3
43513,Yellowstone Golden Ale,5
45737,Mediterranean Hummus,1
95934,Red Water Irish Style Red,1
95934,Chicken Taco,1
39099,Foreman,3
71207,La Frontera Premium IPA,1
71207,Cant Dog Imperial Pale Ale,2
71207,Cant Dog Imperial Pale Ale,2
92563,Garlic Bread,2
92563,Firefly Amber Ale,3
29160,Coconut Shrimp,5
29160,Fort Pitt Ale,1
16765,Jack Stout,1
16765,Hamburger,4
16765,Hamburger,4
52963,La Frontera Premium IPA,2
69533,Osiris Pale Ale,4
69533,Tomato Basil Soup,3
42906,Jack the Sipper,4
42906,Lobster Bisque,3
64941,Bozone Hefe Weizen,3
43498,Spinach and Artichoke Dip,1
43498,Snaggletooth Double Pale Ale,1
31552,Midnight Ryder,3
31552,Cape Cod Red,2
83389,French Onion Soup,1
83389,Chips and Salsa,3
35020,Jack's Hard Cider,2
35020,Jack's Hard Cider,5
43620,Elder Betty,2
48948,Jack Pine Savage,5
48948,Pulled Pork Sliders,1
81748,Bozone Hefe Weizen,5
81748,Coleslaw,2
84651,Firefly Amber Ale,3
84651,Foreman,5
50702,Guacamole and Chips,3
57948,Cheeseburger,1
57948,Paleo IPA,1
80930,Red Mountain Ale,5
80930,Osiris Pale Ale,4
80930,Element 29,3
97770,Beef Taco,5
60861,Grilled Chicken Quesadilla,5
60861,Cheese Pizza,1
84953,Osiris Pale Ale,3
84953,Midwest Charm Farmhouse Ale,4
84953,Element 29,3
77834,Osiris Pale Ale,4
40675,Midnight Ryder,2
40675,Fries,1
25853,French Onion Soup,5
25853,Forest Fire Imperial Smoked Rye,3
60898,Garlic Bread,2
31069,Gose,3
31069,Lobster Bisque,4
31069,Nooner,3
98884,La Frontera Premium IPA,4
98884,Caesar Salad,2
98884,Midwest Charm Farmhouse Ale,1
46274,Smooth Operator,4
46274,Lobster Bisque,2
46274,Guacamole and Chips,5
28256,Boy King,4
28256,Dottie Seattle Lager,3
63351,Kreamed Corn,4
63351,Tomato Basil Soup,1
63351,Coconut Shrimp,4
37089,Ahi Tune Bruschetta,3
37089,Grilled Cheese Trio,1
37089,Ahi Tune Bruschetta,1
47490,Boneless Wings,2
47490,Yellowstone Golden Ale,1
94062,El Steinber Dark Lager,2
67255,Red Water Irish Style Red,5
21804,Ahi Tune Bruschetta,2
21804,Jack Stout,4
85175,Redband Stout,4
85175,Chicken Tortilla Soup,4
85175,Mediterranean Hummus,4
84297,Fort Pitt Ale,4
45496,Fire Eagle IPA,2
45496,Garlic Bread,4
45496,Kreamed Corn,3
33410,Guacamole and Chips,5
33410,Fried Calamari,2
33410,Fried Calamari,3
50708,Foreman,4
50708,Fries,1
50708,KSA,5
40288,Mozarella Sticks,5
39437,Onion Rings,5
39437,Onion Rings,1
39437,Spinach and Artichoke Dip,2
64651,Midwest Charm Farmhouse Ale,2
56781,Pulled Pork Sliders,3
53177,La Ferme Urbaine Farmhouse Ale,2
53177,Chicken Taco,4
43554,Osiris Pale Ale,1
85082,Alaskan Amber,4
44676,Cape Cod Red,2
88935,Fort Pitt Ale,3
88935,KSA,4
64302,Cheese Pizza,4
64302,Cheese Pizza,1
52610,Fried Calamari,1
52610,Fried Calamari,4
52610,Red Mountain Ale,1
25258,Midnight Ryder,2
25258,Nooner,2
25258,Red Mountain Ale,5
85685,El Steinber Dark Lager,2
85481,Red Water Irish Style Red,4
32967,Boxer Light,3
32967,Fort Pitt Ale,4
32967,Paleo IPA,5
22509,Boxer Light,1
22509,Yellow Wolf Imperial IPA,3
22509,Yellow Wolf Imperial IPA,4
63159,Gose,4
63159,Paleo IPA,1
63159,Gran Met,4
68580,Nachos,2
99576,Kale Salad,4
88141,Yellow Wolf Imperial IPA,4
88141,Abigale,3
95965,Gose,3
84708,Pretzels and Cheese Dip,2
18841,Chicken Tortilla Soup,3
18841,Snake Dog IPA,1
18841,Snake Dog IPA,2
60980,Fire Eagle IPA,1
60980,Cape Cod Red,2
32128,French Onion Soup,3
46787,Nooner,3
46787,Sweet Potato Fries,3
46787,Kreamed Corn,1
84718,Mediterranean Hummus,5
84718,Hamburger,3
90683,Crab Cakes,4
90683,Bozone Hefe Weizen,5
90683,Crab Cakes,3
19285,Jack Stout,4
19285,Jack Stout,5
19285,Jack Stout,1
89655,Cheese Pizza,2
89655,Cheese Pizza,4
46418,Boy King,1
46418,Fort Pitt Ale,1
91983,Firefly Amber Ale,5
19724,Gran Met,1
19724,Gossamer Golden Ale,3
19724,Gran Met,3
69283,Cheeseburger,2
67835,Gran Met,1
83049,Pale Dog,4
83049,Crab Cakes,2
83049,Crab Cakes,2
91905,Tomato Basil Soup,3
51574,Jack Pine Savage,1
19842,Gossamer Golden Ale,3
49415,Red Mountain Ale,1
49415,Fried Calamari,5
49415,House Salad,1
89299,Pale Dog,5
89299,Cape Cod Red,2
66331,Lobster Bisque,3
66331,Nachos,3
66331,Nachos,2
91407,Agave Wheat,5
30328,Boy King,1
72433,Nordic Blonde,2
21214,Chicken Tortilla Soup,1
47802,Smoky Wheat,2
33479,Red Water Irish Style Red,2
80363,Coconut Shrimp,4
99773,Capital Trail Pale Ale,3
99773,Fried Calamari,4
99773,Garlic Bread,2
42072,Chicken Tortilla Soup,5
42072,Chicken Tortilla Soup,3
42072,Boxer Ice,2
60382,Occidental Altbier,1
60382,Pretzels and Cheese Dip,4
60382,Oberon,5
38744,Nordic Blonde,4
38744,Boneless Wings,1
67890,Spinach and Artichoke Dip,4
67890,Elder Betty,2
80334,Fire Eagle IPA,4
80334,Red Water Irish Style Red,5
80334,Fire Eagle IPA,1
34306,Fries,4
34306,Onion Rings,5
34306,Onion Rings,4
80097,Smooth Operator,4
80097,Lobster Bisque,2
88260,Grilled Chicken Quesadilla,4
88260,Element 29,5
66032,Yellowstone Golden Ale,4
66032,Gose,4
66032,Snaggletooth Double Pale Ale,2
49079,Firefly Amber Ale,4
49079,Doomtree,2
74583,Might As Well IPL,5
46283,Buffalo Wings,1
46283,Milkshake Stout,4
22639,Boneless Wings,5
98131,Elder Betty,4
98131,Chips and Salsa,3
98131,Jack's Hard Cider,5
33523,Yeti  Imperial Stout,2
33523,Jack Stout,3
33523,Yeti  Imperial Stout,1
13805,Mozarella Sticks,5
69341,Element 29,5
69341,Boxer Ice,1
18651,Jack the Sipper,4
18651,Graham Cracker Porter,4
18651,Abigale,2
27558,Chicken Taco,4
27558,Beef Taco,5
84172,Beef Taco,3
21635,Garlic Bread,2
21635,Capital Trail Pale Ale,5
14437,Abigale,1
14437,Canyon Cream Ale,1
12579,Hamburger,4
12579,Red Water Irish Style Red,3
15115,Foreman,2
15115,Yeti  Imperial Stout,5
15115,Yeti  Imperial Stout,5
38565,Yellow Wolf Imperial IPA,5
38565,Mediterranean Hummus,3
25681,Elder Betty,3
25681,Fort Pitt Ale,2
38047,KSA,2
38047,La Frontera Premium IPA,1
38047,Mozarella Sticks,5
12710,Agave Wheat,3
12710,Gran Met,1
44865,Agent a Deux,2
44865,Agent a Deux,2
35546,Nachos,2
35546,Nachos,3
35546,Jack Stout,5
79966,Abigale,3
85040,Chips and Salsa,5
85040,Redacted Rye IPA,2
85040,Boxer Ice,1
68099,Nooner,3
68099,Mozarella Sticks,5
39192,Redacted Rye IPA,5
57213,Boxer Light,2
57213,Boxer Light,1
57213,Chicken Tortilla Soup,1
43744,Nordic Blonde,5
43744,El Rojo,1
74906,Element 29,4
38305,Capital Trail Pale Ale,3
57341,Chicken Tortilla Soup,1
40502,Bozone Hefe Weizen,5
40502,Mediterranean Hummus,4
37110,Yellow Collar,5
37110,Fried Calamari,3
37110,Fried Calamari,4
33933,Cheeseburger,4
33933,Coleslaw,4
16075,Cant Dog Imperial Pale Ale,5
16075,Snake Dog IPA,1
16075,Smooth Operator,2
82757,Cheese Pizza,2
82757,Agent a Deux,3
82757,Agent a Deux,3
57776,Pale Dog,2
27934,Pale Dog,5
27934,Pale Dog,3
20283,Cant Dog Imperial Pale Ale,2
20283,Ahi Tune Bruschetta,4
20283,Nooner,4
34831,Buffalo Wings,4
38582,Mediterranean Hummus,3
29834,Boneless Wings,4
85500,Grilled Cheese Trio,5
85500,Red Water Irish Style Red,1
85500,Grilled Cheese Trio,1
11416,French Onion Soup,2
11416,Pulled Pork Sliders,5
11416,French Onion Soup,3
49276,Mediterranean Hummus,2
21413,Boy King,1
21413,Boy King,1
21413,Nooner,2
15980,Pale Dog,2
53930,Abigale,1
53930,Coconut Shrimp,3
53930,Redacted Rye IPA,3
55693,Gose,1
55693,Alaskan Amber,3
88813,Forest Fire Imperial Smoked Rye,3
88813,Onion Rings,3
79753,Nordskye ,4
32202,Gran Met,4
21340,Spinach and Artichoke Dip,5
21340,Snaggletooth Double Pale Ale,5
21340,Snaggletooth Double Pale Ale,4
17724,Milkshake Stout,3
17724,Pulled Pork Sliders,4
17724,Agent a Deux,2
23154,Paleo IPA,4
23154,Caesar Salad,5
23154,Caesar Salad,5
26907,Osiris Pale Ale,1
81570,Jade,5
81570,Dolores River Pale Ale,1
81570,Redacted Rye IPA,5
69216,Kreamed Corn,4
69216,KSA,3
24084,Element 29,3
24084,Bozone Hefe Weizen,4
24084,Redacted Rye IPA,4
53757,Tomato Basil Soup,3
53757,Tomato Basil Soup,4
99319,Spinach and Artichoke Dip,1
99319,Snaggletooth Double Pale Ale,1
78105,Ahi Tune Bruschetta,3
78105,Jack Pine Savage,2
53769,Yellowstone Golden Ale,2
53769,Hamburger,3
81574,Nordskye ,3
31433,Fire Eagle IPA,1
63484,Grilled Chicken Quesadilla,2
63484,Boxer Light,2
54857,Chicken Taco,1
26388,Snake Dog IPA,3
26388,Snaggletooth Double Pale Ale,4
35936,Coconut Shrimp,4
35936,Milkshake Stout,2
17692,Bozone Hefe Weizen,3
17692,Caesar Salad,4
17692,Caesar Salad,5
46844,Beef Taco,1
46844,Garlic Bread,4
58882,Spinach and Artichoke Dip,2
82719,Boxer Ice,3
82719,El Steinber Dark Lager,1
82719,Boxer Ice,4
31850,Mediterranean Hummus,2
31850,Hamburger,2
73939,French Onion Soup,4
73939,Might As Well IPL,4
11405,Gose,4
11405,Gose,3
11405,Akari Shogun American Wheat Ale,3
40609,Osiris Pale Ale,5
40609,Oberon,3
40609,Nooner,2
52057,Nooner,3
80766,Yellow Collar,2
80766,Pretzels and Cheese Dip,5
80766,Lobster Bisque,2
55161,Dolores River Pale Ale,1
37217,Cheeseburger,3
37217,Cheeseburger,5
42374,Cheeseburger,3
42374,Fried Calamari,2
53717,Snake Dog IPA,5
53717,Nooner,2
91114,Spinach and Artichoke Dip,4
44229,Nooner,5
44229,Kreamed Corn,4
44229,Oberon,4
50706,Cape Cod Red,1
50706,Coconut Shrimp,2
76729,Capital Trail Pale Ale,3
36721,Fort Pitt Ale,4
76932,Paleo IPA,3
76932,Agave Wheat,5
76932,Agave Wheat,2
43704,Buffalo Wings,4
22652,Gossamer Golden Ale,2
