transactionids,times,dates
54011,15:23,2-26-2016
76932,22:54,1-6-2016
50452,21:25,11-13-2016
32110,18:40,10-21-2016
73715,20:24,8-22-2016
71609,16:25,2-13-2016
72817,14:01,2-24-2016
61725,21:10,3-7-2016
50574,21:23,6-4-2016
11933,16:15,2-19-2016
88072,16:12,7-10-2016
98017,19:54,11-14-2016
94324,15:48,4-14-2016
12073,21:37,2-2-2016
20016,15:46,10-5-2016
50933,17:09,5-23-2016
80011,23:31,2-20-2016
86420,14:25,6-4-2016
52670,23:06,1-2-2016
29369,20:07,5-6-2016
42878,15:54,3-11-2016
61014,17:15,8-17-2016
85763,15:15,1-8-2016
41426,16:33,10-23-2016
68368,19:08,5-20-2016
34067,23:06,5-13-2016
17081,21:55,10-7-2016
89386,16:27,7-26-2016
29721,21:37,11-5-2016
47383,19:54,12-14-2016
75714,14:01,10-22-2016
42845,22:03,3-20-2016
79896,23:48,2-10-2016
81864,22:54,10-9-2016
27719,21:58,9-12-2016
76727,14:41,3-2-2016
25864,16:02,4-18-2016
28394,22:00,7-3-2016
96330,14:41,12-11-2016
45062,19:09,4-19-2016
95407,14:20,10-27-2016
93803,22:41,4-23-2016
25010,19:37,4-7-2016
97287,19:42,2-19-2016
57612,22:49,3-25-2016
46107,21:40,6-10-2016
39804,21:31,2-22-2016
32487,14:56,5-7-2016
11416,23:42,6-20-2016
94765,19:49,6-11-2016
35031,15:58,8-21-2016
13931,19:38,4-7-2016
78011,15:25,11-18-2016
23684,23:13,1-26-2016
72705,22:53,3-10-2016
16287,16:14,8-28-2016
97745,17:51,5-16-2016
67652,14:31,12-10-2016
98133,23:50,8-24-2016
59500,23:10,2-10-2016
57649,22:12,9-3-2016
75979,19:47,5-5-2016
75864,18:12,3-10-2016
49527,16:28,11-25-2016
88910,21:58,2-23-2016
86711,16:29,3-13-2016
90251,23:21,10-16-2016
98507,21:24,8-20-2016
21280,19:56,5-22-2016
71109,22:01,5-19-2016
14846,16:22,7-16-2016
81234,22:22,1-1-2016
62114,14:25,11-9-2016
83621,23:01,7-14-2016
19088,18:38,11-9-2016
19832,21:47,4-1-2016
73374,21:24,8-4-2016
92060,17:23,1-9-2016
95559,20:14,3-4-2016
24825,21:47,8-2-2016
50043,23:11,9-12-2016
94572,22:38,10-8-2016
74785,19:50,11-10-2016
78552,23:36,4-27-2016
19455,16:43,2-13-2016
92898,21:07,5-8-2016
91065,14:17,12-6-2016
67762,15:45,11-21-2016
76250,23:00,4-16-2016
99294,20:22,8-4-2016
65340,14:09,5-26-2016
65070,17:04,7-8-2016
30328,20:59,8-7-2016
76003,22:54,1-14-2016
99147,19:21,1-24-2016
54894,23:54,6-15-2016
74115,14:10,12-3-2016
38056,18:02,7-22-2016
72559,18:54,7-20-2016
10275,18:20,9-16-2016
95934,17:22,4-17-2016
32493,16:10,5-17-2016
33483,15:25,2-28-2016
13908,19:03,4-14-2016
59266,22:56,8-1-2016
12361,15:47,5-28-2016
64692,17:53,2-11-2016
39099,15:13,9-9-2016
44984,14:07,8-6-2016
44653,19:09,7-24-2016
39877,22:34,7-23-2016
98090,15:44,6-16-2016
74879,23:36,8-23-2016
61354,17:11,10-18-2016
86906,15:02,4-17-2016
21943,18:03,12-17-2016
35737,15:04,8-28-2016
79095,23:34,6-10-2016
23636,16:26,9-15-2016
70585,18:12,4-6-2016
39135,21:29,1-4-2016
88474,16:28,6-18-2016
72545,15:38,11-15-2016
14382,15:22,11-17-2016
26677,23:14,7-25-2016
57661,20:37,5-20-2016
94337,19:37,7-14-2016
44720,18:31,1-18-2016
96524,16:50,8-12-2016
71970,15:43,10-5-2016
11015,19:24,4-19-2016
52960,16:40,8-15-2016
65607,22:44,9-9-2016
15242,20:52,8-23-2016
90798,18:36,8-22-2016
65458,17:20,5-20-2016
71574,17:46,5-6-2016
34160,15:27,12-21-2016
84633,22:33,1-26-2016
97378,18:54,10-3-2016
29480,22:34,9-4-2016
48836,19:03,1-11-2016
30295,16:13,7-20-2016
76015,19:26,3-1-2016
82919,16:49,12-20-2016
97619,20:56,4-5-2016
21466,19:06,6-24-2016
22564,14:51,9-25-2016
88355,17:22,4-11-2016
22015,23:28,8-9-2016
24535,14:20,10-14-2016
66390,16:30,2-4-2016
82755,16:21,1-22-2016
36242,23:26,6-16-2016
57230,22:53,9-1-2016
20515,23:27,12-8-2016
17003,23:16,10-17-2016
21730,17:56,1-22-2016
17753,19:06,12-1-2016
87522,22:08,6-1-2016
14193,16:35,2-25-2016
44494,15:33,3-13-2016
12874,14:09,3-26-2016
54889,23:10,2-16-2016
61284,20:14,2-27-2016
56495,17:23,11-28-2016
34770,21:54,1-11-2016
88438,20:02,4-16-2016
75174,21:51,10-9-2016
11629,14:20,7-12-2016
73127,15:51,12-5-2016
76263,22:26,5-4-2016
20068,15:53,2-17-2016
88239,19:07,8-14-2016
34146,17:38,8-17-2016
10920,21:48,8-24-2016
84676,19:46,9-10-2016
81350,22:07,1-18-2016
79623,23:45,12-24-2016
82516,21:37,10-9-2016
30336,22:27,7-5-2016
73430,20:27,1-2-2016
81935,15:06,8-7-2016
31751,17:39,1-12-2016
17746,19:06,5-3-2016
17150,17:30,7-10-2016
21485,21:12,3-21-2016
62445,22:39,1-21-2016
23893,23:42,9-14-2016
34537,15:38,5-4-2016
86149,15:01,7-6-2016
33297,14:05,6-12-2016
50270,21:22,8-7-2016
23938,18:56,1-26-2016
30516,18:26,9-23-2016
41522,22:37,4-24-2016
76143,22:14,7-11-2016
95622,21:30,7-13-2016
90354,19:44,9-3-2016
85113,22:16,12-14-2016
62535,16:29,10-2-2016
42374,16:50,10-22-2016
32596,15:04,1-5-2016
35135,22:58,10-2-2016
37818,19:20,12-2-2016
30378,23:06,1-10-2016
36635,22:56,4-9-2016
34988,18:00,5-16-2016
81432,18:05,10-15-2016
51372,16:21,2-4-2016
17492,21:23,2-1-2016
79802,14:14,9-3-2016
74518,20:59,7-23-2016
18876,23:21,4-23-2016
41339,16:11,6-25-2016
66047,21:25,12-3-2016
47429,20:55,5-12-2016
16945,15:50,5-17-2016
34523,15:40,7-5-2016
53396,15:15,12-1-2016
66277,19:02,11-19-2016
48523,20:16,8-18-2016
91205,20:13,3-15-2016
34439,23:30,11-27-2016
12236,17:55,6-11-2016
93686,15:14,6-21-2016
51536,20:29,5-14-2016
38193,20:48,5-24-2016
26372,15:32,3-9-2016
38188,14:55,8-5-2016
53914,14:17,9-15-2016
87862,20:35,3-10-2016
70454,16:26,4-14-2016
57782,23:43,11-14-2016
97756,22:55,10-9-2016
79749,14:50,8-20-2016
16559,22:49,8-11-2016
13633,14:16,10-14-2016
56482,23:00,3-3-2016
63711,20:11,6-20-2016
52867,23:58,8-27-2016
10581,14:50,8-3-2016
61798,21:12,5-2-2016
74705,18:16,10-2-2016
34815,18:19,11-11-2016
42084,22:43,9-18-2016
75673,17:37,10-2-2016
88733,15:42,7-27-2016
99230,18:53,2-19-2016
94648,14:47,11-5-2016
69526,23:43,3-18-2016
87915,14:57,10-8-2016
72783,23:08,8-4-2016
96416,20:19,7-26-2016
55634,18:08,3-24-2016
72337,20:29,5-9-2016
94426,15:11,9-10-2016
78731,22:44,9-14-2016
63144,18:50,3-24-2016
57131,20:45,9-9-2016
41049,23:49,12-21-2016
58263,14:10,12-24-2016
66641,19:36,3-9-2016
96493,15:57,5-21-2016
93743,18:30,8-15-2016
84033,20:04,5-2-2016
99423,17:10,5-27-2016
99871,23:38,3-16-2016
22493,19:31,12-23-2016
64170,15:55,6-12-2016
14020,14:15,6-7-2016
33421,17:52,12-6-2016
78457,17:52,3-13-2016
95760,14:39,4-25-2016
72820,14:55,10-1-2016
34813,21:03,6-24-2016
68353,16:38,11-11-2016
60100,19:29,9-24-2016
32001,23:04,9-19-2016
12840,22:52,11-26-2016
98235,23:50,2-10-2016
74636,23:17,4-19-2016
47534,17:49,5-5-2016
45013,18:41,11-6-2016
39149,15:52,12-2-2016
97882,16:04,6-15-2016
44121,20:45,6-20-2016
13329,15:57,12-5-2016
13049,22:26,4-15-2016
88600,14:07,6-20-2016
17963,23:33,7-11-2016
83637,14:31,4-26-2016
35721,15:29,8-22-2016
85708,14:33,9-5-2016
93768,23:10,2-22-2016
51603,23:01,2-8-2016
85579,16:54,3-7-2016
26821,20:13,4-2-2016
46769,17:22,12-4-2016
18595,18:46,6-22-2016
74865,18:28,10-2-2016
16716,23:53,9-10-2016
88324,15:38,4-23-2016
50119,16:09,12-18-2016
74762,23:05,3-22-2016
91295,23:10,1-1-2016
33967,19:18,12-5-2016
48840,23:00,8-12-2016
62706,22:50,5-8-2016
96428,23:11,3-13-2016
22402,14:50,4-10-2016
56875,22:24,2-12-2016
55790,22:18,11-17-2016
24499,16:55,10-8-2016
75295,18:39,4-4-2016
50549,19:15,11-7-2016
33789,16:42,12-11-2016
65866,23:07,12-16-2016
10744,22:08,4-27-2016
54084,18:27,3-28-2016
33700,23:47,9-2-2016
28936,15:53,11-13-2016
31668,23:31,12-28-2016
77283,16:13,2-2-2016
31963,15:15,8-12-2016
82931,17:15,6-26-2016
93678,14:03,6-8-2016
33452,18:59,10-12-2016
24387,17:53,8-17-2016
27558,14:00,11-11-2016
60062,15:39,9-22-2016
43933,19:20,1-2-2016
94931,20:06,11-20-2016
64336,17:30,8-4-2016
60993,18:24,4-17-2016
53324,16:57,11-3-2016
48696,19:25,10-7-2016
73008,23:22,10-7-2016
22243,22:02,9-9-2016
20080,14:21,7-24-2016
83530,20:40,12-12-2016
13755,17:21,2-11-2016
98051,18:49,4-28-2016
47185,14:13,3-14-2016
30832,21:04,10-20-2016
79493,22:11,2-23-2016
11057,15:33,1-27-2016
31331,19:42,7-7-2016
29983,17:35,2-23-2016
87569,20:29,5-4-2016
48792,16:25,7-23-2016
37551,14:09,4-17-2016
25244,23:32,4-23-2016
98370,22:59,11-27-2016
61975,16:31,3-8-2016
58477,16:13,1-24-2016
85346,16:57,4-16-2016
53386,15:25,8-17-2016
89566,18:53,9-15-2016
88392,14:40,10-5-2016
23628,16:06,5-2-2016
22274,14:33,11-20-2016
71402,18:20,2-21-2016
68732,21:07,11-4-2016
29948,20:09,10-23-2016
18602,21:23,3-12-2016
37906,18:20,3-14-2016
56606,17:26,5-19-2016
79337,20:12,6-4-2016
14199,17:01,1-24-2016
14311,21:05,12-21-2016
37085,15:55,1-2-2016
84795,20:33,9-22-2016
76796,19:00,9-12-2016
10679,19:49,10-3-2016
97192,22:20,8-18-2016
19576,14:22,2-22-2016
47604,20:33,1-26-2016
37788,23:46,7-21-2016
40828,23:40,10-25-2016
44580,17:41,6-17-2016
52963,23:25,3-12-2016
67286,18:42,7-19-2016
79797,19:59,11-7-2016
49518,14:28,1-24-2016
82960,14:31,10-24-2016
81736,18:30,10-12-2016
94364,20:10,5-25-2016
40351,22:35,4-1-2016
11431,21:15,7-18-2016
14577,17:34,9-18-2016
55545,16:58,8-19-2016
84790,17:47,7-26-2016
39705,20:45,2-3-2016
59513,14:27,10-10-2016
74166,14:48,10-7-2016
59551,15:09,1-25-2016
62482,21:55,10-19-2016
26963,18:54,2-8-2016
77610,17:24,2-25-2016
56306,21:10,6-12-2016
94165,20:37,11-27-2016
54396,18:40,2-1-2016
76377,22:02,7-25-2016
69812,14:11,3-1-2016
67117,14:56,7-7-2016
84606,19:50,5-9-2016
36774,14:25,3-27-2016
37718,23:37,5-6-2016
90755,14:04,5-26-2016
77161,18:33,9-15-2016
81411,19:53,10-7-2016
30113,19:58,5-26-2016
78105,16:18,3-10-2016
71454,20:31,7-27-2016
44707,20:47,3-16-2016
14378,16:14,11-25-2016
20046,15:08,10-6-2016
96007,19:53,8-17-2016
30984,17:47,3-8-2016
12920,17:46,1-19-2016
29834,23:08,4-19-2016
89354,16:06,6-26-2016
50872,15:15,12-6-2016
24581,23:58,6-5-2016
86958,23:59,10-6-2016
14147,16:35,7-28-2016
88875,20:57,8-5-2016
23279,23:51,4-9-2016
78376,17:38,9-18-2016
27503,21:32,8-12-2016
21941,21:12,6-17-2016
62245,20:12,10-25-2016
22526,16:27,9-6-2016
36081,23:45,11-18-2016
18297,21:25,6-3-2016
30794,19:52,3-16-2016
72573,18:27,8-16-2016
88803,17:34,2-21-2016
54199,20:41,10-22-2016
75125,19:01,10-21-2016
69665,15:04,8-21-2016
34483,15:50,10-4-2016
58144,21:36,12-20-2016
97926,15:43,11-18-2016
70262,15:25,11-14-2016
31842,22:36,4-1-2016
23796,23:23,2-6-2016
35693,21:29,6-4-2016
16658,21:40,2-11-2016
38772,20:05,3-6-2016
24410,21:48,6-25-2016
67497,17:00,8-26-2016
81881,15:56,8-9-2016
53564,22:07,9-15-2016
53767,17:24,2-6-2016
26071,23:02,1-17-2016
53574,20:38,11-17-2016
51180,16:07,7-19-2016
50057,19:53,4-3-2016
73081,17:04,12-25-2016
45117,21:01,6-1-2016
24132,16:25,3-5-2016
48567,17:08,10-12-2016
95731,16:24,8-14-2016
67038,18:05,8-9-2016
82033,20:20,11-11-2016
46745,18:33,8-5-2016
65812,17:43,11-9-2016
42446,23:57,1-28-2016
90429,18:44,10-8-2016
95377,18:48,5-22-2016
42787,18:56,11-24-2016
88684,16:48,9-13-2016
72894,17:37,2-3-2016
49560,15:14,6-24-2016
16177,21:00,7-5-2016
16875,17:16,10-15-2016
61961,23:32,6-28-2016
55405,22:36,12-2-2016
82137,17:14,8-5-2016
93988,21:12,3-7-2016
41217,16:20,12-8-2016
71232,23:04,11-9-2016
31476,14:01,1-2-2016
50483,23:22,11-4-2016
56243,18:04,4-7-2016
63681,19:27,6-15-2016
35057,17:25,5-26-2016
17848,20:51,12-19-2016
83157,18:17,9-14-2016
15536,18:52,6-10-2016
43921,21:31,7-3-2016
25475,23:03,11-10-2016
86388,22:07,10-17-2016
20840,15:15,12-17-2016
82706,17:36,3-18-2016
55945,21:24,3-22-2016
95643,20:49,9-24-2016
61117,18:52,5-27-2016
31374,17:40,8-25-2016
10398,15:48,12-12-2016
87211,15:03,7-24-2016
87055,20:13,7-14-2016
64936,14:41,7-6-2016
41250,18:54,2-6-2016
82826,16:38,9-11-2016
42967,22:58,12-2-2016
85408,14:09,9-11-2016
51176,22:37,9-9-2016
74927,22:04,1-26-2016
91348,14:36,5-18-2016
34094,20:18,5-8-2016
22019,21:59,11-17-2016
44747,17:13,1-7-2016
47452,17:41,3-27-2016
57208,17:25,9-15-2016
78365,23:43,3-6-2016
17966,19:12,9-21-2016
95743,16:27,2-23-2016
88133,15:36,7-25-2016
26841,15:54,8-9-2016
70987,21:21,3-6-2016
35356,17:49,1-24-2016
33641,14:49,8-25-2016
12383,15:21,8-9-2016
52532,14:41,5-13-2016
40805,17:07,2-20-2016
22667,19:56,5-23-2016
60834,16:49,11-25-2016
92063,23:05,7-25-2016
52111,19:58,2-28-2016
86595,16:37,2-4-2016
40705,14:07,11-9-2016
54183,14:52,8-26-2016
44923,22:18,11-10-2016
57396,20:19,5-18-2016
78542,22:01,12-11-2016
52408,23:32,12-11-2016
89912,19:06,3-3-2016
18270,23:51,11-25-2016
23247,22:25,12-3-2016
23528,17:48,2-20-2016
10068,14:05,5-21-2016
81873,19:06,1-15-2016
67862,15:07,11-12-2016
51235,14:32,3-6-2016
99910,21:12,3-20-2016
48478,21:12,2-17-2016
75493,21:42,9-24-2016
46456,20:39,9-25-2016
57936,19:29,7-23-2016
27976,22:11,9-14-2016
83385,19:36,5-5-2016
83632,19:40,5-7-2016
45191,15:52,5-25-2016
77918,21:48,3-2-2016
89038,15:09,9-8-2016
35934,17:30,2-9-2016
71338,15:41,2-4-2016
76676,16:57,3-6-2016
97394,16:08,3-24-2016
39746,21:30,2-19-2016
10600,17:13,4-22-2016
69133,23:32,5-27-2016
87866,22:15,9-4-2016
44324,20:48,11-24-2016
32048,20:40,3-24-2016
64663,21:12,7-8-2016
14735,14:59,6-18-2016
13791,16:21,7-23-2016
44390,14:10,10-12-2016
55022,15:57,12-13-2016
96935,21:26,6-27-2016
52338,20:53,11-17-2016
25884,21:04,4-1-2016
83361,14:46,10-13-2016
13205,15:01,1-21-2016
92813,14:11,8-17-2016
74649,21:40,8-3-2016
45351,18:32,4-15-2016
72126,14:30,5-13-2016
80134,18:54,5-28-2016
42544,14:11,1-8-2016
23976,21:44,2-4-2016
25761,20:14,1-28-2016
34705,20:30,9-6-2016
31777,16:48,10-11-2016
50826,17:17,9-4-2016
14137,15:35,12-1-2016
25919,14:38,6-11-2016
70469,18:11,6-21-2016
27071,15:48,7-27-2016
70632,22:31,10-26-2016
41959,23:04,9-25-2016
97319,17:47,4-19-2016
41611,14:14,12-5-2016
15847,20:15,11-28-2016
29266,16:13,2-16-2016
92731,23:16,8-25-2016
52554,17:55,1-25-2016
66581,20:37,3-14-2016
84300,21:52,5-8-2016
27598,15:47,12-27-2016
49595,21:04,5-4-2016
17239,23:25,9-3-2016
46311,20:20,5-5-2016
47829,14:34,6-3-2016
91414,16:47,9-13-2016
37057,20:12,4-8-2016
37432,15:22,4-6-2016
40927,17:57,9-19-2016
96013,22:28,12-1-2016
14978,18:24,11-15-2016
11727,19:56,10-11-2016
29516,19:51,9-12-2016
97858,15:19,12-18-2016
66579,21:43,7-25-2016
70702,18:06,7-1-2016
56422,15:31,6-5-2016
60780,23:01,8-14-2016
65136,22:47,1-25-2016
72257,15:21,11-18-2016
99699,21:38,11-3-2016
73272,20:33,8-27-2016
53456,20:35,6-28-2016
21306,23:46,3-2-2016
40602,19:16,10-17-2016
46049,14:57,10-20-2016
57334,19:39,6-8-2016
15272,20:38,5-16-2016
66023,23:42,12-17-2016
42912,23:03,8-17-2016
16508,21:06,3-11-2016
90858,17:21,3-27-2016
85638,19:30,12-8-2016
89649,23:41,12-2-2016
52314,16:21,7-18-2016
99602,17:11,12-22-2016
94562,23:49,9-10-2016
47032,23:25,8-21-2016
89782,16:17,9-4-2016
56776,16:18,7-15-2016
93599,19:36,4-11-2016
26840,20:30,12-8-2016
24639,14:23,2-2-2016
87022,20:45,2-3-2016
34689,18:27,11-14-2016
11013,20:41,10-3-2016
67552,18:02,1-15-2016
54094,14:58,5-6-2016
15396,17:24,2-21-2016
85931,15:21,1-13-2016
11054,14:46,2-14-2016
82399,23:10,4-14-2016
12736,22:23,4-12-2016
24441,19:47,4-8-2016
60158,23:35,3-22-2016
92418,23:48,11-11-2016
47891,18:18,4-17-2016
41057,14:21,12-1-2016
99889,20:46,2-23-2016
88423,17:02,9-27-2016
74228,18:36,6-16-2016
99019,17:46,4-18-2016
48013,22:19,12-16-2016
30902,19:41,5-24-2016
25292,21:22,12-5-2016
35016,18:34,6-12-2016
52195,14:29,4-25-2016
18690,18:52,1-27-2016
42476,17:50,2-9-2016
80446,22:47,11-10-2016
72001,23:34,8-26-2016
33167,21:06,8-19-2016
13808,16:56,6-18-2016
49662,18:23,5-1-2016
29555,16:31,10-28-2016
36462,14:24,2-25-2016
56773,17:58,5-22-2016
19480,18:36,7-13-2016
31487,21:46,2-13-2016
87658,19:46,5-16-2016
41430,16:35,4-3-2016
30627,14:24,1-27-2016
73535,21:31,7-18-2016
35110,18:32,11-1-2016
56937,15:29,11-20-2016
10715,22:32,11-15-2016
60339,16:41,6-15-2016
29626,18:26,3-14-2016
19227,14:57,9-13-2016
39978,23:41,2-13-2016
55331,14:33,8-25-2016
46615,16:50,9-21-2016
27737,17:25,9-2-2016
85269,14:57,2-13-2016
73062,19:51,4-1-2016
31138,15:50,3-26-2016
79669,22:22,8-9-2016
75223,15:04,1-22-2016
71373,22:44,1-18-2016
36027,23:47,5-14-2016
29937,20:38,3-10-2016
57806,16:26,9-9-2016
86334,19:23,1-14-2016
54907,17:25,5-22-2016
31776,16:11,11-4-2016
62483,22:21,2-24-2016
60466,15:35,5-5-2016
31311,21:35,6-1-2016
93861,19:04,5-22-2016
92039,19:24,10-4-2016
30691,20:47,10-14-2016
59343,16:42,4-26-2016
47281,17:42,6-17-2016
17690,15:09,2-25-2016
61529,17:23,9-2-2016
81707,18:46,6-21-2016
91623,15:23,11-21-2016
33000,23:23,1-26-2016
32931,21:41,6-12-2016
18529,14:24,3-14-2016
99646,16:47,11-9-2016
74102,18:42,3-2-2016
67956,14:21,7-27-2016
34935,17:30,9-2-2016
50984,15:09,9-28-2016
67119,14:15,11-4-2016
22331,22:15,6-14-2016
57048,20:24,11-27-2016
27410,20:07,1-4-2016
76733,19:10,4-2-2016
68089,16:42,5-1-2016
53209,22:12,8-3-2016
53224,21:51,7-16-2016
51185,23:55,3-11-2016
48027,23:59,9-11-2016
36237,22:18,7-11-2016
68839,20:38,10-17-2016
33984,19:41,10-19-2016
57050,22:57,12-3-2016
23426,22:07,5-8-2016
42843,16:59,1-3-2016
13447,21:23,4-16-2016
79405,22:53,7-24-2016
27537,18:15,10-22-2016
24650,17:26,1-23-2016
20825,19:25,3-13-2016
96383,21:41,10-26-2016
47387,22:34,8-6-2016
38431,20:39,1-2-2016
26591,18:12,7-23-2016
88571,21:13,2-26-2016
34619,16:45,2-9-2016
46709,20:23,7-3-2016
37474,19:06,6-3-2016
10754,20:42,7-5-2016
17139,18:31,10-17-2016
44008,23:32,11-10-2016
49080,20:11,5-22-2016
95427,17:19,4-2-2016
47842,22:29,3-3-2016
46007,19:03,3-28-2016
62666,20:59,11-3-2016
23104,18:46,10-14-2016
78184,18:11,6-16-2016
56922,16:58,8-16-2016
27852,14:57,10-3-2016
68180,15:47,1-27-2016
80139,23:48,10-7-2016
14641,19:55,4-1-2016
81433,14:56,3-16-2016
81842,20:00,11-18-2016
68496,22:00,3-18-2016
50297,20:49,2-17-2016
51487,14:52,11-27-2016
53038,14:43,5-10-2016
79320,14:20,2-19-2016
51661,23:37,5-10-2016
32347,23:52,6-9-2016
54288,21:53,7-21-2016
32125,19:18,10-1-2016
19583,22:19,6-1-2016
66256,21:34,3-10-2016
74770,15:07,4-25-2016
83382,15:29,3-24-2016
62276,17:29,2-14-2016
48992,21:59,7-26-2016
60414,23:36,7-26-2016
16465,17:17,2-9-2016
85467,22:54,7-12-2016
67838,19:20,2-6-2016
58500,16:50,10-4-2016
44564,23:14,1-14-2016
49253,16:35,12-20-2016
62070,23:04,10-24-2016
15237,16:28,12-14-2016
77488,21:51,7-8-2016
87637,20:24,7-2-2016
54827,18:45,9-3-2016
12588,20:43,6-1-2016
84294,23:08,12-19-2016
26287,21:42,10-13-2016
17292,16:00,6-11-2016
76775,17:15,6-21-2016
74342,16:34,1-27-2016
84026,21:22,9-23-2016
83588,21:23,12-21-2016
50252,22:52,7-24-2016
41983,19:05,3-15-2016
79818,17:27,2-24-2016
90449,15:23,12-26-2016
57928,20:55,6-16-2016
50602,20:53,9-15-2016
64224,14:18,7-22-2016
26047,23:53,7-1-2016
52289,20:59,1-18-2016
14025,23:45,5-18-2016
85184,17:19,1-1-2016
74030,21:30,9-14-2016
69358,16:23,6-22-2016
24779,15:11,6-4-2016
50325,20:53,12-14-2016
29064,18:19,5-21-2016
50650,18:01,10-10-2016
87954,22:47,6-7-2016
13533,14:45,11-28-2016
90203,15:40,7-18-2016
78338,14:14,7-4-2016
52770,15:57,4-9-2016
55672,14:36,3-28-2016
99365,19:30,12-25-2016
75301,18:14,12-1-2016
75990,17:07,9-11-2016
96360,22:30,10-22-2016
19755,15:13,12-21-2016
21898,14:52,12-2-2016
27227,23:07,4-16-2016
23595,14:33,2-6-2016
96033,22:50,10-17-2016
46413,16:42,5-7-2016
86957,15:21,3-24-2016
29293,17:20,11-20-2016
16335,18:14,10-18-2016
14764,23:13,5-17-2016
68865,23:20,3-24-2016
32743,19:08,4-22-2016
90454,22:08,9-6-2016
63713,22:07,11-13-2016
39583,22:58,12-10-2016
58072,16:17,8-23-2016
24340,18:25,5-12-2016
44207,17:12,7-7-2016
62883,22:48,12-4-2016
75146,22:02,1-3-2016
65309,20:37,4-15-2016
15082,20:23,5-12-2016
34201,23:33,6-22-2016
85398,15:36,5-16-2016
20202,18:25,3-23-2016
70658,20:11,1-25-2016
26356,15:32,10-13-2016
31683,17:39,5-9-2016
29488,21:07,9-10-2016
88675,22:34,7-15-2016
30419,23:18,8-13-2016
72014,15:21,3-27-2016
19811,23:44,8-8-2016
29123,17:18,6-5-2016
24966,18:50,7-14-2016
42411,20:11,3-3-2016
43654,17:20,3-12-2016
14525,17:25,10-16-2016
24099,21:49,2-22-2016
92104,20:00,1-8-2016
31808,16:02,5-19-2016
58326,21:17,1-2-2016
63966,20:13,11-4-2016
23028,20:38,5-2-2016
46081,15:28,6-7-2016
67243,23:37,10-28-2016
30387,14:43,5-21-2016
90249,16:28,2-5-2016
60987,16:34,2-11-2016
84932,19:27,3-9-2016
20600,15:40,6-27-2016
90729,23:10,1-8-2016
23000,16:24,10-6-2016
94255,14:41,6-17-2016
39590,20:17,8-8-2016
13370,23:25,6-13-2016
38661,14:50,1-6-2016
77314,14:39,9-27-2016
48375,17:05,5-9-2016
49432,17:03,7-28-2016
56386,22:45,12-9-2016
88942,19:30,1-16-2016
25090,18:32,12-2-2016
43386,22:02,12-13-2016
61675,14:41,1-7-2016
50626,20:51,4-25-2016
43066,19:34,2-16-2016
70045,20:01,10-27-2016
75178,19:45,7-28-2016
19384,17:58,10-1-2016
69497,20:38,2-1-2016
35020,23:54,5-5-2016
38807,19:14,12-15-2016
51326,19:52,10-26-2016
13985,22:24,12-13-2016
66207,18:51,8-19-2016
96840,16:23,5-8-2016
57898,19:24,12-16-2016
47517,15:48,9-24-2016
75405,15:43,10-7-2016
64057,20:36,4-20-2016
29720,16:35,10-1-2016
68077,18:21,5-3-2016
14773,21:54,12-7-2016
17802,23:17,6-1-2016
46977,17:39,1-27-2016
72925,23:33,4-21-2016
88753,21:22,2-27-2016
45751,18:07,9-19-2016
48183,14:54,7-8-2016
42715,21:12,2-2-2016
19818,14:04,10-20-2016
57647,18:49,11-18-2016
62111,20:43,11-1-2016
29396,14:16,10-13-2016
91575,20:15,4-11-2016
94696,22:06,5-23-2016
68048,15:28,11-5-2016
76223,16:33,12-13-2016
19953,18:55,12-10-2016
97946,16:23,1-4-2016
44332,18:55,7-7-2016
49459,23:54,2-21-2016
28038,23:38,6-7-2016
67517,19:08,7-18-2016
37942,22:51,10-2-2016
85459,15:55,6-23-2016
58040,17:13,3-20-2016
52128,17:16,8-20-2016
73696,15:28,8-15-2016
38744,17:25,2-21-2016
68940,18:48,1-3-2016
35782,23:33,7-26-2016
24485,21:36,7-8-2016
47083,15:48,9-24-2016
84308,23:42,4-24-2016
79982,22:17,2-12-2016
78996,23:24,5-26-2016
52398,22:44,6-21-2016
85144,15:48,5-25-2016
99777,15:35,6-6-2016
91984,14:01,11-24-2016
51363,19:38,7-15-2016
50615,23:25,6-17-2016
40663,16:48,8-16-2016
13721,19:23,7-8-2016
79090,21:10,5-6-2016
32485,16:55,5-1-2016
12528,23:18,5-14-2016
66926,23:46,4-1-2016
25956,21:14,11-8-2016
66813,15:07,5-21-2016
92634,17:45,4-4-2016
25230,18:04,2-13-2016
46365,22:32,6-5-2016
47834,17:08,6-12-2016
67992,22:12,4-6-2016
23002,22:45,12-2-2016
59196,18:15,9-17-2016
23552,23:51,4-25-2016
20208,22:03,5-10-2016
64394,14:26,3-5-2016
27980,19:41,5-18-2016
73599,20:54,4-28-2016
54986,16:16,3-11-2016
87760,17:43,12-5-2016
32866,18:05,3-10-2016
48651,16:35,5-13-2016
34045,18:03,9-27-2016
47742,21:29,5-8-2016
73974,21:55,9-21-2016
73180,18:36,7-11-2016
14057,17:43,4-2-2016
15993,21:54,9-3-2016
67882,22:31,2-25-2016
90760,18:19,3-25-2016
78224,21:22,7-20-2016
56754,17:36,9-28-2016
23745,17:07,7-14-2016
10465,21:41,7-27-2016
81903,21:45,11-7-2016
29053,23:56,4-5-2016
13215,20:07,3-23-2016
